,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADM,ADBE,AAP,AMD,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,APA,AAPL,AMAT,APTV,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,BKR,BLL,BAC,BBWI,BAX,BDX,BRK-B,BBY,BIO,TECH,BIIB,BLK,BK,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BRO,BF-B,CHRW,CDNS,CZR,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,CNC,CNP,CDAY,CERN
2019-10-31,1.4189175166577213e-12,2.8203670551680297e-12,3.929554284803667e-12,5.620875183991167e-17,1.0047183721717692e-16,1.267422173100507e-11,6.6119462927145205e-12,3.101948805254712e-11,1.684327900770315e-11,3.777353612067525e-12,6.327305615108332e-13,3.1572215135187337e-12,1.891931186871314e-16,7.47579353635569e-12,2.3753613496291976e-16,6.351735327805183e-12,1.2195959550039532e-16,5.659394083906943e-12,5.598088720919845e-16,4.473398479786525e-09,1.0429017976691768e-11,3.864199195935681e-17,1.1833036510111597e-11,1.0022043707231346e-16,2.190371085289954e-11,2.9727941589201677e-16,1.0725315172366605e-16,7.368986442546137e-12,2.9001112002902965e-12,1.5060730923909592e-15,1.143176648316113e-11,1.6331766513418518e-17,2.182754880923282e-17,1.806034319666889e-17,1.1268060408914006e-16,3.1691957151055227e-18,1.1848795820025428e-11,5.583443382141714e-18,2.1963105875169766e-17,8.945980025751429e-17,1.300323693674799e-11,7.591307676254116e-11,5.773949515384718e-12,1.9267853634672458e-11,6.565988482893072e-15,1.5707383917803472e-17,0.9999999999999999,3.4755980475121045e-11,2.3866590856360843e-17,4.667787038104542e-16,6.056758290531315e-17,2.110229616444037e-11,5.2975605628488544e-18,8.247286940032268e-17,1.6487799740534189e-16,1.4646664263879216e-11,3.300841958853561e-12,4.98089388924228e-12,7.643655129665489e-12,5.066112422846315e-12,1.0511366784474852e-17,3.9961209838927674e-12,6.041956364680129e-16,5.439153374133183e-16,1.9462139253433665e-17,5.699821649441016e-17,5.2242132454140684e-17,1.7008386354464035e-17,6.625950312489801e-12,1.9636377002536472e-16,4.054669600686321e-17,9.684554286114245e-12,8.609722789926586e-12,5.651822663854171e-17,1.343277759513824e-16,4.806712914536392e-18,8.882638997389684e-12,1.0445630622605095e-12,2.8864599747494932e-16,8.73833812344538e-17,8.288818697109162e-12,1.4569862622480279e-15,1.9641830084770612e-11,1.769182163143524e-17,1.8489173544402374e-11,1.779748494629106e-11,4.863402717259707e-12,1.5536907383959206e-17,2.8974106271263448e-11,0,6.891883983996669e-17,6.611846072063927e-13,6.798199288223123e-23,2.605801099663764e-16,4.235713474737489e-11,3.303639484655844e-12,1.8065226592521573e-16,5.982426255883874e-13,0,6.212865497650283e-12
2019-11-29,0.0,1.196959198423997e-16,0.0011120449255653912,0.025880227927816538,0.03545297681941327,0.006768496649040305,0.022173604681181295,1.5612511283791264e-17,0.010483273082402877,1.734723475976807e-18,0.046979337888982446,0.02252712657737327,0.0105801634802122,1.0408340855860843e-17,5.204170427930421e-18,0.002864321691119407,0.0006861327736998931,3.469446951953614e-18,0.026195958112226823,0.052251193120492104,0.01773292348888411,0.012405583154832499,0.0,0.013510152450703533,0.01547682997611946,0.0,0.022722461598400114,6.938893903907228e-18,0.007254354620064363,0.0,0.008600928394001894,0.007219613543757747,0.024858049697575546,0.01340335449375863,0.010336982057960015,0.006679751569022233,0.014922688883911347,0.0,0.008712042501780778,6.938893903907228e-18,0.0,0.02591299536336271,0.035347672856673534,0.0005672641324185115,0.0,0.026112437190612812,0.03264180694909949,3.469446951953614e-18,0.001479015634129251,0.0015002608891588522,0.011780998873908204,0.0006698736939856013,0.01062635939643366,0.004039338381900744,1.3877787807814457e-17,0.0033504404073911994,0.011023370902491319,0.029999906919748125,0.0018711287408779576,0.019609758188450947,0.007251455079805033,8.673617379884035e-18,0.020433434974985898,0.019872247667711264,1.734723475976807e-18,0.015582176144820315,0.0014466840365055626,0.034586480588063115,0.02675233990787832,0.0,0.013472178176133259,5.204170427930421e-18,0.022984285769881214,0.0020419158406091483,0.006608888014588718,0.015226602995256387,0.010416517786837245,0.01623630036711284,0.0,0.00999997721637818,0.008507172012131765,0.0,0.0021661459372134487,0.02328042514454237,0.0,5.204170427930421e-18,0.006158443249093212,0.003355301926973379,8.673617379884035e-18,0,0.003966952951317261,0.016376361250645385,1.734723475976807e-18,0.0,0.012119544011083495,0.004889306743448769,0.0319456595260432,0.0,0,1.734723475976807e-18
2019-12-31,9.866071375171902e-13,6.362060679566836e-13,5.036925776959029e-17,3.9173721013031325e-13,9.058033623720602e-12,7.670812892138077e-11,6.273926179234553e-16,3.0402054346026507e-12,1.7461853494360367e-14,1.3278997764426788e-12,1.766695720727185e-12,7.71484534027598e-13,1.1466029010290787e-15,9.628068104615091e-17,2.7946421909736966e-16,1.0776594975776909e-16,3.760615379617856e-12,2.6804310765729602e-12,1.910720931432761e-12,4.3205885978267673e-13,1.5793660305412957e-12,1.3352262784135345e-12,9.520529667948616e-18,1.0619784878299995e-15,2.1872773958270828e-16,1.165583866599742e-16,6.345916808693929e-13,2.2778288911590185e-12,9.746863185231204e-17,3.668733957026532e-12,1.1913738183156084e-15,1.0014134589904083e-10,1.2538292883479697e-12,2.6884682312152774e-17,7.51987864425197e-13,5.386678221406723e-17,1.7054251088818069e-16,1.0684419398516678e-12,1.033557575264944e-16,1.3021105558987164e-15,9.369195431019534e-13,5.050507673625692e-16,8.358943737674308e-17,5.608099283186708e-11,4.3448674900393874e-17,2.959895938360102e-11,4.627791580897028e-17,9.053664603784646e-14,2.8219071877867946e-12,1.9559837605556275e-17,3.2315225860538954e-16,6.7151711942117e-14,4.076947728667312e-11,1.5683038883453277e-17,9.374207678246435e-16,9.81317627919009e-13,2.6263362496796047e-13,2.8580972489351873e-12,1.5172666271317601e-16,1.086718998713754e-12,4.656391100241355e-13,1.365755541777845e-12,6.325470627281417e-13,1.3250251788506166e-13,4.9981701566811645e-17,4.0571635353297736e-17,4.685872728362499e-13,9.89884943677675e-17,5.1510398883788603e-11,2.78313256467438e-17,4.933374776225148e-13,4.7205868459856526e-17,5.9990193391975e-16,8.466137005174714e-14,4.296937323896848e-13,2.935562211099199e-13,1.0,7.049109471279049e-13,2.0275303299078435e-16,5.686331313747234e-16,1.3684153096622019e-12,7.007931869918494e-13,9.319250273919868e-13,1.4339682709848003e-16,8.625295540633967e-14,1.7271239554098144e-12,1.4716512036234373e-17,1.2816471645685568e-16,4.0225488639123557e-16,0,2.271194088281805e-17,8.66918145450412e-13,1.7083619099870846e-12,8.939256128352781e-12,5.3043641823547e-13,1.8299431844526417e-16,3.718936705146739e-13,3.618075465096429e-17,0,7.217183084638835e-13
2020-01-31,2.8130336276620456e-16,2.193580651857804e-17,1.4179584848152333e-12,2.8726970891278207e-13,2.837431284487814e-16,1.9844510160153623e-17,1.745656310584205e-12,7.912693843161447e-13,6.083375373524076e-14,8.302670139906997e-17,7.000281652216754e-13,6.011503303901023e-13,3.35717483834242e-17,1.526476551014071e-16,5.972318410754098e-17,7.678684706312565e-13,3.674968049908775e-17,2.334763291117194e-12,3.8750429606511917e-13,4.307129086339858e-17,1.0245506042735962e-12,9.934159643555936e-13,9.999813008710897e-13,3.192931897758656e-13,3.755771736288359e-16,1.0887735772498835e-12,2.3477359461349262e-12,3.1510838354437676e-17,1.95667372418115e-13,5.56980888164848e-14,2.544869518425557e-17,8.656396583551832e-14,1.4206222419922625e-12,1.6061647004781063e-12,1.8576793222956114e-13,2.1017672538416987e-17,5.865384218291491e-13,2.0900892194540592e-13,3.304250777272396e-17,6.901644778365402e-13,1.6785899029991143e-12,7.538278110299e-14,6.889630265048909e-17,8.268527401242986e-17,1.2198021335486912e-12,1.0,1.7043968043410962e-12,5.512515377388298e-17,2.5758568318460998e-17,2.809274425210211e-17,1.104022722959667e-12,1.6263745301087233e-12,3.7366819620749554e-14,1.0715825494067062e-17,1.0153317508535262e-16,9.131175955930495e-17,2.4239088889260556e-16,1.7993678018782503e-16,3.250259216965242e-13,8.861664183505169e-17,7.784407356412689e-17,3.4692543311253533e-12,9.723092214296803e-13,1.3338467978932302e-14,2.238598408441145e-17,2.5931961039283864e-17,2.936125910643393e-17,1.1703078990233493e-13,9.903278886368697e-18,9.693315208805874e-14,2.18558700779204e-17,3.17516445634946e-17,3.569132641203013e-13,1.0452795168578574e-12,2.6752557978240208e-17,2.244575810218256e-16,1.253978405936747e-14,1.6548530873406347e-17,1.3814348029103279e-17,2.188403541575423e-16,1.0603619217737559e-16,5.754700175994035e-17,2.393581924564547e-13,3.070358800791561e-13,5.025303257203826e-13,7.336089175546368e-17,9.837457543182769e-14,5.720212725682559e-13,3.8910281791645795e-13,0,3.19865308493033e-17,3.5522015516986135e-17,8.513654182866793e-13,2.745617586991117e-17,1.0413839469131136e-16,6.031165805450595e-13,1.5759431561779126e-17,6.764625651029167e-17,0,6.327255414465363e-17
2020-02-28,0.0,2.1163626406917047e-16,0.0,3.2959746043559335e-16,6.765421556309548e-16,3.642919299551295e-16,0.013181342324502295,5.898059818321144e-16,1.6653345369377348e-16,1.8214596497756474e-16,0.014314461998853629,3.157196726277789e-16,0.0,0.0,0.0,0.049032674740106676,2.740863092043355e-16,0.0,4.336808689942018e-17,0.0,0.0,0.0,1.491862189340054e-16,1.700029006457271e-16,1.491862189340054e-16,1.8388068845354155e-16,0.0,4.371503159461554e-16,6.765421556309548e-17,0.0,0.0,9.540979117872439e-17,0.0,1.6306400674181987e-16,1.214306433183765e-16,2.654126918244515e-16,0.0,6.245004513516506e-17,0.0,2.42861286636753e-16,4.0592529337857286e-16,0.09688650752360616,5.377642775528102e-16,2.1684043449710089e-16,0.0,0.16272997794136726,0.0,0.0,1.6306400674181987e-16,7.28583859910259e-17,0.0,1.8735013540549517e-16,0.0,0.0,1.0061396160665481e-16,0.0,0.0,0.0,5.204170427930421e-17,0.0,0.0,2.0122792321330962e-16,0.0,2.203098814490545e-16,1.0928757898653885e-16,1.0408340855860843e-17,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,3.434752482434078e-16,0.0,0.0,0.2839795746641414,0.0,0.0,0.1993456938781049,0.1805297669293174,0.0,0.0,0.0,0.0,1.4224732503009818e-16,1.5092094240998222e-16,6.071532165918825e-17,0.0,0,1.1102230246251565e-16,0.0,0.0,0.0,2.42861286636753e-17,0.0,1.1449174941446927e-16,3.226585665316861e-16,0,0.0
2020-03-31,1.4552546652680943e-18,0.0,0.0,1.8755589196387756e-18,0.0,0.0,0.0618402073163201,2.9808101665831223e-18,0.0,0.0,4.237866902362763e-18,1.1057885226912377e-19,1.4906600198784674e-19,0.0,2.1109724889399717e-19,0.30594442073848427,0.0,5.058082589555422e-20,0.0,7.934613460977806e-18,1.6700821162474436e-18,0.0,1.582968145495473e-18,7.991454328252204e-19,0.0,0.0,0.0,6.593334429981928e-19,1.9670993841884227e-19,0.0,2.1413896320458178e-19,6.468231799117874e-19,1.1686276517865598e-18,0.03613495736455675,0.01101856457206022,1.2032525548860907e-18,0.007823095247549195,1.6600278013915263e-18,0.0,2.6766999429136755e-19,0.0,6.417192470046906e-19,2.3685797699574746e-19,0.0,0.0,0.0,1.829039189567905e-18,0.0,9.718098174439735e-19,0.0,0.0,8.359385146157412e-19,0.0,1.2105227135736192e-18,8.405909367164634e-20,0.0,0.0,9.955275175796034e-19,6.317059126473728e-20,6.62479422626634e-19,2.345385626649986e-18,0.0,0.0,4.712588749423132e-19,7.948356495344687e-20,3.682706099585329e-18,0.0,0.0,0.18230931345664053,0.0,0.0,0.0,4.463248578383128e-19,4.603450840536383e-19,1.6072325680816281e-19,0.0,0.0,5.583176104883253e-19,1.2185402260819565e-19,2.992590122631222e-18,3.6782973808047253e-19,4.607578244142198e-19,5.4202694735546845e-20,5.549357439470199e-19,0.0,0.0,2.1524149152327858e-19,6.293787766422969e-19,3.971862410484828e-19,0,1.1226122636615617e-17,2.3684670674095727e-18,4.833034155414744e-19,8.222328836982728e-19,8.057039507223979e-19,3.034736193549293e-19,0.3949294413043889,0.0,0,3.062848136841494e-19
2020-04-30,0.010605112753361921,0.010741108910038282,0.01005283820756391,0.010227102896265635,0.009537485667846303,0.010279515931484677,0.010537280594107237,0.01042674605824568,0.00992645823518226,0.011537787475429315,0.007125630542178584,0.010709143273707252,0.010548715986108022,0.010322832658011535,0.010190115470429518,0.011552437010984193,0.009634704855081656,0.010480668695777086,0.0112473206146134,0.007693182305383603,0.009741930130873887,0.011160952140457965,0.010883593943223812,0.010466441559367313,0.010430633012513797,0.011025722282527153,0.009427495197853915,0.010089713443183984,0.011749147971605678,0.009604437778685106,0.010994905278479405,0.010155028027403385,0.011065616850608893,0.011410136012037785,0.011079864537952008,0.010423452201995568,0.011516977547853113,0.010125746871701624,0.009184805017266307,0.010052477572259117,0.01000567897098352,0.009599959649135459,0.010122287881854819,0.01057152097191564,0.0028542593728024942,0.009280232754871626,0.010023648740282064,0.009424923872192695,0.010688145188120298,0.010861825120640501,0.011497879934594042,0.010973423361509206,0.011340809011785125,0.009045489624131337,0.0105924500373328,0.010384935099456594,0.01132886654191095,0.009871322690793395,0.008992820199922709,0.011111551525006692,0.009754558340803403,0.011525670960688184,0.010577528626336508,0.010327482909166448,0.01042313095372813,0.008839194952075878,0.010240027826695199,0.010250605486277839,0.011240567468920623,0.009650587148803697,0.010356507730932727,0.011621917199990194,0.010151821898151872,0.01024820591348683,0.01116745505417924,0.00998830535889661,0.009248409852851618,0.009352005057482597,0.010520218182295715,0.010361950877171908,0.010170186148053043,0.011487435732763054,0.009992548750437258,0.007148970595932136,0.011178253332370531,0.009487238591183979,0.010672949692930308,0.009659892458608722,0.009504351531507341,0,0.008572515122541736,0.010134618936563831,0.011599378844385815,0.009769274703788595,0.009865696380472794,0.010704731015736787,0.009802185210930035,0.011244852378616808,0,0.010621472705350198
2020-05-29,0.010568329042312282,0.010942125547539564,0.010058184218373718,0.01012378636606532,0.009396047158398438,0.010124679329300373,0.010612671673213165,0.01049020347816113,0.009811664665834545,0.011746945430495544,0.006111950381592389,0.01072452666215538,0.010841482923012246,0.010363404875480646,0.010317226292033481,0.012132999192264538,0.009578305332794758,0.010471547305826752,0.011486309042928139,0.007219777680070799,0.009884077762112312,0.011378543541363337,0.011173037517899774,0.010202168972642952,0.01016064964457859,0.011164178181706855,0.009169961153060121,0.010265658012659658,0.012117437094299237,0.009734197419367426,0.01119319110724163,0.01016418226085497,0.011326326911350952,0.011539579133307323,0.011413355384578446,0.010685535264288696,0.011932954954118766,0.010184524195705192,0.008814716793064578,0.01013508369760364,0.009867746851729151,0.00949993138118051,0.009905942188670018,0.010709945832645264,0.0009338183636192245,0.008981251327375163,0.009726764313158819,0.009149356189223898,0.010746279683457448,0.0110617796982422,0.011904527339755921,0.011180776350473594,0.011619216550917692,0.008697575784713554,0.010679439610367531,0.010348195325793008,0.011515929282195372,0.009837257221805017,0.00872308644517023,0.011398685536777592,0.009665034467496664,0.011904720130540654,0.010553509747156785,0.010308108378862235,0.010579800073052597,0.008347790428233113,0.010130828961853723,0.010436108184588767,0.011729188778592123,0.009716699361864192,0.010220256036368027,0.012216126712672287,0.010208029939333925,0.010654919144732286,0.011242077086024888,0.009939583992810622,0.009006207042015525,0.008977570544528994,0.01076459278033909,0.010357088505036666,0.01032098606875503,0.011941401426435834,0.009958339606232186,0.005830341455405097,0.011312311385398207,0.009357186189421184,0.010996994304242527,0.009518052576042811,0.00902702980518487,0,0.008212834925386986,0.01037660918628356,0.01175218044350201,0.009527825078294605,0.009829849441636361,0.010957472802272206,0.009650179897635502,0.01137133622135601,0,0.010851798013483011
2020-06-30,0.004560135394146024,0.00592007674209661,0.004120720676817888,0.01413158754175951,0.007278268897567008,0.019222050476276162,0.013535124264605968,0.01030107663135183,0.022570126333936492,0.00489577958196421,0.025143155755556215,0.014085101301025249,0.0,0.01021863486579974,0.007809652706634573,0.011091685496313989,0.015848536801170134,0.009785586376121718,0.008518557689081815,0.02538801175647828,0.012612861092119558,0.002457434399653312,0.001165560574556154,0.006338601900012355,0.00609072184639619,0.00744532697337318,0.02078765735673275,0.012069307175834149,0.0,0.02571402367789179,0.0,0.009970280725704673,0.007198560907128448,0.011475386873330374,0.011307521458261947,0.019001826323212172,0.010445613799776808,0.004842244900050512,0.019888634840742256,0.006962401100536753,0.014727170128372845,0.014095143915811768,0.0,0.008582722276383745,0.04285350200467432,0.030759008292308175,0.018258960953826606,0.0090282532247708,6.938893903907228e-18,0.015824287524835494,0.005195068312555921,0.0030698688710387367,1.734723475976807e-18,0.023953050268747902,0.009240339217787108,0.008142258480017966,0.0007731328569913834,0.009815546534085865,0.0,0.006252036406247132,0.007423371536547376,1.734723475976807e-17,3.469446951953614e-18,0.004677448670838484,0.0031405458800238557,0.020211484810935723,0.005366450436960444,0.008308236180340446,3.469446951953614e-18,0.012452126277398775,0.004988513467414283,0.019066713660695782,0.0052413748333759195,0.01508245947584245,0.0055861458448134725,3.469446951953614e-18,0.015606183172969598,0.012236819803384107,0.013565544684352834,0.015233567965285709,0.00377641019321255,0.004932400455668087,0.01481017701546002,0.042991998568171354,0.011895101831261355,0.004148409569443629,0.0018379674737026962,0.01394259815629039,0.008886778734523114,0,0.015042174201111647,0.006880565491277332,0.0007677182876583907,0.013274699544092855,0.015632813332008916,0.0018579496195659535,0.012405300716232215,0.005232374878098846,0,0.0027293907485688293
2020-07-31,0.0,7.806255641895632e-17,0.0,0.0,2.185751579730777e-16,1.5612511283791264e-17,0.02474630918888618,0.0,0.030681937516918556,0.0,0.11427705100748961,0.040455225488909355,5.898059818321144e-17,6.071532165918825e-17,3.2959746043559335e-17,0.05096156446768884,0.0,2.6020852139652106e-17,0.04974309087516787,0.0,0.0,0.036386862843908,0.0,0.0,3.2959746043559335e-17,0.02195083168235736,0.047892893292660194,1.5959455978986625e-16,0.047309198382810176,0.0,5.724587470723463e-17,0.0,0.0,0.05157362709485408,0.07233706789907943,0.0,0.0,4.336808689942018e-17,6.938893903907228e-17,4.683753385137379e-17,3.2959746043559335e-17,7.632783294297951e-17,0.0,8.847089727481716e-17,0.0,0.1289846605931838,1.734723475976807e-18,0.0,0.016912882839271413,0.01716358922017705,0.0,1.0408340855860843e-17,0.0040938980472036285,0.0,1.3877787807814457e-17,2.0816681711721685e-17,5.204170427930421e-18,0.0,0.0,3.469446951953614e-18,0.0,0.16232530098752004,0.0,0.003799675717536614,0.0,0.0,0.0,9.540979117872439e-17,1.214306433183765e-17,0.0,8.673617379884035e-18,0.0,1.734723475976807e-17,4.336808689942018e-17,2.6020852139652106e-17,0.0,0.0,2.6020852139652106e-17,8.673617379884035e-18,0.027054895811741864,4.85722573273506e-17,0.005366505442314134,0.001295240551968696,1.43982048506075e-16,0.006598598162313276,1.214306433183765e-17,5.724587470723463e-17,0.0,1.43982048506075e-16,0,8.673617379884035e-18,0.0,0.0,6.418476861114186e-17,0.0,8.153200337090993e-17,0.03808909288603959,2.0816681711721685e-17,0,8.153200337090993e-17
