Date,Open,High,Low,Close,Volume
2013-01-31,115.56999969482422,116.41999816894533,115.56999969482422,115.80999755859376,291600
2013-02-28,124.98999786376952,126.26000213623048,124.52999877929688,124.61000061035156,480300
2013-03-31,128.75999450683594,129.86000061035156,127.94000244140624,129.86000061035156,475800
2013-04-30,133.82000732421875,135.00999450683594,133.16000366210938,134.99000549316406,587000
2013-05-31,129.4199981689453,130.61000061035156,128.42999267578125,129.61000061035156,765100
2013-06-30,128.75,129.25,127.5,128.25999450683594,435400
2013-07-31,134.27000427246094,134.4199981689453,132.83999633789062,133.52999877929688,345000
2013-08-31,137.63999938964844,137.9199981689453,136.8300018310547,136.9499969482422,333600
2013-09-30,144.66000366210938,145.86000061035156,143.5500030517578,145.41000366210938,388500
2013-10-31,153.64999389648438,154.22999572753906,152.5800018310547,153.74000549316406,437200
2013-11-30,157.6999969482422,158.99000549316406,156.72999572753906,156.8300018310547,99700
2013-12-31,154.75999450683594,156.07000732421875,154.75999450683594,155.8699951171875,129300
2014-01-31,145.80999755859375,146.86000061035156,144.75999450683594,144.75999450683594,590100
2014-02-28,149.17999267578125,150.63999938964844,148.58999633789062,149.24000549316406,373000
2014-03-31,150.75,153.10000610351562,150.24000549316406,153.0500030517578,497300
2014-04-30,158.3699951171875,158.44000244140625,155.6300048828125,158.02999877929688,590000
2014-05-31,160.27000427246094,160.83999633789062,159.5500030517578,160.02000427246094,301000
2014-06-30,159.14999389648438,161.0,158.55999755859375,160.49000549316406,362100
2014-07-31,155.77000427246094,157.2100067138672,155.49000549316406,155.91000366210938,574700
2014-08-31,163.69000244140625,164.86000061035156,163.02999877929688,163.83999633789062,349700
2014-09-30,160.0800018310547,164.0500030517578,159.60000610351562,162.00999450683594,590200
2014-10-31,170.94000244140625,171.3699951171875,169.42999267578125,170.64999389648438,285500
2014-11-30,177.13999938964844,177.13999938964844,175.17999267578125,175.38999938964844,116900
2014-12-31,172.4199981689453,174.13999938964844,170.17999267578125,170.3000030517578,148100
2015-01-31,171.52999877929688,173.52000427246094,170.57000732421875,171.3800048828125,274100
2015-02-28,177.39999389648438,178.9600067138672,176.61000061035156,177.42999267578125,252600
2015-03-31,176.10000610351562,176.49000549316406,173.47000122070312,174.0,473500
2015-04-30,179.00999450683594,180.42999267578125,178.14999389648438,178.91000366210938,303200
2015-05-31,184.6300048828125,185.0,181.3000030517578,181.50999450683597,468700
2015-06-30,182.5500030517578,183.2700042724609,180.8999938964844,182.00999450683597,248900
2015-07-31,183.2700042724609,183.8800048828125,182.69000244140625,183.1199951171875,291900
2015-08-31,174.35000610351562,176.8300018310547,172.72999572753906,175.80999755859375,409500
2015-09-30,173.92999267578125,174.0,172.0399932861328,173.33999633789062,338300
2015-10-31,182.25999450683597,182.72999572753903,177.7100067138672,177.97000122070312,274800
2015-11-30,184.7899932861328,184.94000244140625,183.05999755859372,184.44000244140625,307200
2015-12-31,185.30999755859372,186.72999572753903,183.08999633789065,183.08999633789065,169600
2016-01-31,174.94000244140625,179.02999877929688,174.94000244140625,178.94000244140625,412800
2016-02-29,186.1199951171875,187.3800048828125,185.6999969482422,186.1300048828125,255500
2016-03-31,196.3300018310547,197.9900054931641,194.9199981689453,197.42999267578125,258100
2016-04-30,183.5399932861328,185.5,182.8000030517578,184.8999938964844,491000
2016-05-31,178.4199981689453,179.5399932861328,177.69000244140625,179.11000061035156,363700
2016-06-30,174.41000366210938,182.69000244140625,174.1199951171875,182.6699981689453,731900
2016-07-31,188.77999877929688,189.30999755859372,187.2100067138672,189.00999450683597,283500
2016-08-31,192.75,193.57000732421875,190.8000030517578,193.3800048828125,255700
2016-09-30,190.3999938964844,190.7899932861328,189.5800018310547,189.97000122070312,379100
2016-10-31,202.1199951171875,203.9900054931641,201.0500030517578,203.5200042724609,334800
2016-11-30,211.97999572753903,212.3000030517578,209.92999267578125,210.5500030517578,422200
2016-12-31,217.16000366210935,217.1699981689453,215.66000366210935,216.3999938964844,152300
2017-01-31,221.0800018310547,221.8300018310547,219.17999267578125,219.92999267578125,295500
2017-02-28,233.2899932861328,235.30999755859372,232.97999572753903,235.13999938964844,336300
2017-03-31,234.3600006103516,235.6699981689453,233.7400054931641,233.80999755859372,173800
2017-04-30,252.72999572753903,254.1999969482422,250.72999572753903,251.7100067138672,285200
2017-05-31,250.0800018310547,254.6499938964844,248.1300048828125,254.6499938964844,718300
2017-06-30,255.0500030517578,255.7100067138672,252.38999938964844,254.58999633789065,427400
2017-07-31,260.07000732421875,263.25,260.07000732421875,262.3900146484375,307500
2017-08-31,251.7400054931641,253.0,250.19000244140625,252.47999572753903,528800
2017-09-30,223.57000732421875,229.4499969482422,222.69000244140625,228.38999938964844,663300
2017-10-31,239.0,244.1699981689453,236.27999877929688,237.4499969482422,817200
2017-11-30,223.42999267578125,224.75999450683597,217.77999877929688,219.6000061035156,917200
2017-12-31,222.69000244140625,222.7700042724609,221.02999877929688,221.25999450683597,304300
2018-01-31,227.8999938964844,230.5800018310547,227.52999877929688,229.8000030517578,419600
2018-02-28,244.47000122070312,245.0200042724609,240.2400054931641,240.2400054931641,286100
2018-03-31,259.6499938964844,259.6499938964844,256.7099914550781,256.82000732421875,329700
2018-04-30,236.4199981689453,237.25999450683597,232.6499938964844,232.6699981689453,243500
2018-05-31,225.1100006103516,225.9499969482422,222.9499969482422,225.2899932861328,487700
2018-06-30,231.30999755859372,232.57000732421875,229.25999450683597,230.47999572753903,282100
2018-07-31,217.0,218.92999267578125,213.0200042724609,218.3500061035156,659600
2018-08-31,221.9499969482422,223.3300018310547,221.00999450683597,223.0200042724609,265500
2018-09-30,227.8300018310547,229.97999572753903,225.3500061035156,228.47000122070312,226200
2018-10-31,220.69000244140625,222.0500030517578,215.1000061035156,217.8600006103516,486200
2018-11-30,219.8300018310547,223.55999755859372,219.8300018310547,222.0800018310547,474500
2018-12-31,216.13999938964844,217.8000030517578,215.0200042724609,217.75999450683597,213400
2019-01-31,218.55999755859372,219.27999877929688,213.4600067138672,219.0500030517578,280300
2019-02-28,224.8300018310547,226.3000030517578,223.08999633789065,226.1100006103516,231900
2019-03-31,215.75,216.30999755859372,214.63999938964844,215.9600067138672,215500
2019-04-30,231.5200042724609,235.67999267578125,230.52999877929688,235.5,324000
2019-05-31,245.08999633789065,248.8600006103516,244.1199951171875,247.66000366210935,341300
2019-06-30,245.1300048828125,248.8699951171875,244.75999450683597,247.17999267578125,439600
2019-07-31,250.9199981689453,252.8000030517578,245.05999755859372,246.63999938964844,336000
2019-08-31,240.38999938964844,240.77999877929688,231.57000732421875,235.8800048828125,621600
2019-09-30,266.3099975585937,268.0799865722656,264.92999267578125,266.0899963378906,212300
2019-10-31,254.42999267578125,257.4100036621094,252.5399932861328,257.0899963378906,258500
2019-11-30,272.19000244140625,273.4200134277344,270.8299865722656,271.260009765625,177800
2019-12-31,277.44000244140625,278.2699890136719,276.45001220703125,276.8399963378906,136000
2020-01-31,276.0,278.8699951171875,275.8599853515625,276.57000732421875,454200
2020-02-29,256.8399963378906,257.8399963378906,242.22999572753903,247.8800048828125,676700
2020-03-31,196.1199951171875,197.72999572753903,189.8699951171875,192.4199981689453,353300
2020-04-30,181.17999267578125,181.17999267578125,173.05999755859375,173.1300048828125,285600
2020-05-31,202.17999267578125,202.17999267578125,196.05999755859372,198.41000366210935,535400
2020-06-30,202.1699981689453,207.08999633789065,202.1499938964844,206.1999969482422,336600
2020-07-31,216.42999267578125,218.97999572753903,214.6999969482422,218.7899932861328,240100
2020-08-31,221.0,221.67999267578125,217.91000366210935,220.0800018310547,288200
2020-09-30,201.00999450683597,201.75,194.5399932861328,197.5399932861328,473700
2020-10-31,204.50999450683597,206.2100067138672,193.6199951171875,197.0800018310547,675900
2020-11-30,231.19000244140625,233.0399932861328,225.52999877929688,227.3300018310547,1072000
2020-12-31,230.72000122070312,234.3999938964844,228.6699981689453,234.08999633789065,118600
2021-01-31,215.7100067138672,215.7100067138672,209.6300048828125,211.0800018310547,316800
2021-02-28,238.8600006103516,243.8600006103516,236.5800018310547,241.80999755859372,391200
2021-03-31,254.22999572753903,254.33999633789065,247.6300048828125,247.80999755859372,281700
2021-04-30,273.04998779296875,278.94000244140625,271.5,276.95001220703125,462600
2021-05-31,261.5799865722656,261.5799865722656,257.0299987792969,259.9599914550781,357000
2021-06-30,251.97999572753903,253.02999877929688,250.5,252.00999450683597,226000
2021-07-31,247.00999450683597,253.7400054931641,245.7899932861328,252.8300018310547,346400
2021-08-31,262.7099914550781,267.29998779296875,262.5799865722656,264.8999938964844,305500
2021-09-30,253.1699981689453,258.17999267578125,250.75,250.77999877929688,272900
2021-10-31,266.45001220703125,267.1600036621094,261.3299865722656,261.5,406500
2021-11-30,279.2300109863281,279.92999267578125,276.3399963378906,277.8999938964844,134700
