Date,Open,High,Low,Close,Volume
2013-01-31,105.79000091552734,106.23999786376952,103.5500030517578,104.87999725341795,1460400
2013-02-28,92.69000244140624,95.12999725341795,92.01000213623048,94.43000030517578,1971500
2013-03-29,88.43000030517578,89.80999755859375,87.83000183105469,89.08000183105469,1130300
2013-04-30,75.30999755859375,77.25,74.27999877929688,76.43000030517578,1676000
2013-05-31,83.63999938964844,84.33000183105469,82.9000015258789,83.20999908447266,1217300
2013-06-28,71.12000274658203,71.22000122070312,68.69000244140625,68.80000305175781,2876200
2013-07-31,88.0,88.37999725341797,86.83999633789062,87.80000305175781,1514600
2013-08-30,84.5,84.62999725341797,82.77999877929688,83.37999725341797,818700
2013-09-30,86.0,86.87000274658203,85.30999755859375,85.80999755859375,964500
2013-10-31,83.33000183105469,83.5,81.06999969482422,81.54000091552734,2737600
2013-11-29,82.55999755859375,82.68000030517578,81.77999877929688,82.26000213623047,625400
2013-12-31,90.1999969482422,91.27999877929688,89.7699966430664,90.86000061035156,953100
2014-01-31,109.69000244140624,109.69000244140624,106.5,107.0199966430664,2797100
2014-02-28,114.86000061035156,114.86000061035156,111.06999969482422,112.33999633789062,1749400
2014-03-31,106.1999969482422,107.43000030517578,105.9800033569336,106.62999725341795,2051000
2014-04-30,104.93000030517578,105.81999969482422,103.9800033569336,105.16999816894533,1651700
2014-05-30,110.66000366210938,110.66000366210938,108.30999755859376,108.5500030517578,1041600
2014-06-30,110.93000030517578,112.4800033569336,110.66000366210938,111.44000244140624,851800
2014-07-31,114.86000061035156,114.86000061035156,112.47000122070312,112.58999633789062,1365400
2014-08-29,124.22000122070312,124.5500030517578,123.20999908447266,124.19000244140624,528500
2014-09-30,119.4000015258789,120.04000091552734,118.12999725341795,118.73999786376952,713900
2014-10-31,123.88999938964844,124.0,122.01000213623048,122.9800033569336,1356700
2014-11-28,129.4499969482422,130.5800018310547,128.52999877929688,129.19000244140625,502100
2014-12-31,133.1300048828125,133.6199951171875,130.3699951171875,130.47000122070312,432200
2015-01-30,113.2300033569336,114.7300033569336,111.37999725341795,111.62000274658205,1073600
2015-02-27,119.22000122070312,120.05999755859376,118.0199966430664,118.12000274658205,664500
2015-03-31,114.87999725341795,115.45999908447266,114.11000061035156,114.94000244140624,759700
2015-04-30,123.33000183105467,123.6500015258789,121.61000061035156,122.0199966430664,1062600
2015-05-29,126.4499969482422,126.7699966430664,125.05999755859376,125.69000244140624,1036800
2015-06-30,118.58000183105467,121.5999984741211,118.55999755859376,120.3499984741211,672600
2015-07-31,134.5,135.1999969482422,133.19000244140625,134.13999938964844,1270800
2015-08-31,121.7300033569336,123.27999877929688,121.3499984741211,121.41000366210938,636600
2015-09-30,115.88999938964844,117.48999786376952,114.48999786376952,115.8000030517578,832800
2015-10-30,110.43000030517578,111.16000366210938,109.61000061035156,110.1999969482422,1463900
2015-11-30,103.11000061035156,103.7699966430664,102.88999938964844,103.0,1696900
2015-12-31,97.6500015258789,98.4499969482422,96.8000030517578,96.95999908447266,702700
2016-01-29,93.26000213623048,94.5999984741211,93.18000030517578,93.77999877929688,1346800
2016-02-29,96.9800033569336,97.43000030517578,96.0199966430664,96.16999816894533,750100
2016-03-31,105.26000213623048,106.0500030517578,104.91000366210938,105.8499984741211,630100
2016-04-29,104.08999633789062,104.9499969482422,102.38999938964844,104.75,1152400
2016-05-31,109.08999633789062,110.27999877929688,108.1500015258789,110.1999969482422,1099400
2016-06-30,112.37000274658205,113.83999633789062,111.41999816894533,113.83999633789062,537900
2016-07-29,122.88999938964844,123.68000030517578,122.20999908447266,123.41999816894533,762000
2016-08-31,123.93000030517578,124.05999755859376,121.33000183105467,122.7300033569336,642100
2016-09-30,123.87999725341795,125.0,123.5500030517578,124.63999938964844,438500
2016-10-31,134.9199981689453,138.5500030517578,134.32000732421875,138.2100067138672,1452000
2016-11-30,141.9600067138672,142.85000610351562,139.5,140.75,800300
2016-12-30,144.9600067138672,145.5,144.08999633789062,144.72000122070312,366600
2017-01-31,132.60000610351562,135.49000549316406,132.50999450683594,134.02999877929688,985000
2017-02-28,143.27000427246094,143.6699981689453,142.3300018310547,143.27000427246094,589300
2017-03-31,142.66000366210938,143.0500030517578,141.94000244140625,142.57000732421875,592300
2017-04-28,126.95999908447266,129.67999267578125,126.68000030517578,129.1300048828125,1684200
2017-05-31,128.55999755859375,129.0,126.4800033569336,128.1300048828125,1105400
2017-06-30,127.8499984741211,127.8499984741211,126.38999938964844,127.05999755859376,683200
2017-07-31,122.1500015258789,122.1500015258789,120.01000213623048,120.75,805200
2017-08-31,118.33999633789062,119.73999786376952,118.08999633789062,119.37999725341795,665500
2017-09-29,122.08999633789062,122.58999633789062,120.3499984741211,120.55999755859376,798000
2017-10-31,119.9499969482422,121.4800033569336,119.41000366210938,121.2699966430664,944500
2017-11-30,130.2100067138672,134.5,129.16000366210938,134.1999969482422,2280100
2017-12-29,132.44000244140625,132.55999755859375,131.13999938964844,131.22000122070312,329500
2018-01-31,140.88999938964844,144.61000061035156,140.27999877929688,144.5399932861328,1287000
2018-02-28,151.80999755859375,151.80999755859375,148.5,148.52000427246094,852400
2018-03-30,143.58999633789062,145.25999450683594,142.07000732421875,144.61000061035156,521700
2018-04-30,160.83999633789062,163.47999572753906,160.5,163.08999633789062,1182200
2018-05-31,173.2100067138672,174.80999755859375,171.58999633789062,173.11000061035156,1557500
2018-06-29,173.50999450683594,175.2100067138672,172.36000061035156,172.4499969482422,439200
2018-07-31,171.35000610351562,172.85000610351562,170.33999633789062,171.3800048828125,678700
2018-08-31,188.5,190.1499938964844,187.91000366210935,189.1199951171875,735000
2018-09-28,196.42999267578125,199.7100067138672,196.2899932861328,199.4199981689453,552300
2018-10-31,174.32000732421875,178.38999938964844,172.9600067138672,175.27999877929688,1122100
2018-11-30,173.64999389648438,174.14999389648438,171.66000366210938,171.97000122070312,739100
2018-12-31,162.0399932861328,163.3800048828125,160.5,162.02999877929688,330600
2019-01-31,159.30999755859375,161.66000366210938,159.30999755859375,160.9499969482422,843800
2019-02-28,171.25,171.4499969482422,167.9199981689453,168.13999938964844,706700
2019-03-29,156.72999572753906,157.35000610351562,155.00999450683594,156.92999267578125,772000
