Date,Open,High,Low,Close,Volume
2013-01-31,88.05999755859375,88.37999725341797,86.72000122070312,86.87000274658203,5312000
2013-02-28,88.58999633789062,88.79000091552734,87.94000244140625,88.0,2281700
2013-03-29,94.38999938964844,96.58999633789062,94.38999938964844,96.5199966430664,3824000
2013-04-30,98.5999984741211,99.1999969482422,98.33999633789062,99.08999633789062,1813500
2013-05-31,106.66999816894533,107.79000091552734,105.83000183105467,105.83000183105467,1975800
2013-06-28,107.11000061035156,108.86000061035156,107.11000061035156,108.45999908447266,2717300
2013-07-31,120.44000244140624,121.56999969482422,119.31999969482422,120.12000274658205,1852200
2013-08-30,122.58000183105467,122.66999816894533,121.72000122070312,122.41999816894533,1847000
2013-09-30,128.0800018310547,128.5800018310547,127.25,127.5500030517578,1588500
2013-10-31,134.00999450683594,134.77999877929688,133.16000366210938,133.33999633789062,1516500
2013-11-29,143.8699951171875,144.27000427246094,141.24000549316406,141.6699981689453,1553300
2013-12-31,147.30999755859375,148.86000061035156,147.30999755859375,148.66000366210938,693000
2014-01-31,147.07000732421875,151.99000549316406,145.94000244140625,150.91000366210938,2618200
2014-02-28,161.14999389648438,163.30999755859375,161.14999389648438,162.3000030517578,2232700
2014-03-31,162.25,163.5500030517578,161.60000610351562,163.24000549316406,1458700
2014-04-30,162.02000427246094,164.3800048828125,161.35000610351562,164.13999938964844,1615800
2014-05-30,162.72999572753906,163.9600067138672,162.2899932861328,163.64999389648438,2121200
2014-06-30,162.75999450683594,162.8300018310547,160.36000061035156,160.72999572753906,1234500
2014-07-31,169.0800018310547,169.24000549316406,166.97000122070312,166.97000122070312,1935900
2014-08-29,174.75999450683594,175.08999633789062,173.75,174.0,1532000
2014-09-30,182.6000061035156,184.08999633789065,182.1300048828125,182.77999877929688,1981200
2014-10-31,191.3999938964844,191.9199981689453,189.66000366210935,190.57000732421875,1699900
2014-11-28,189.6199951171875,192.5800018310547,189.0,191.55999755859372,940900
2014-12-31,194.91000366210935,195.97000122070312,192.5200042724609,192.57000732421875,706500
2015-01-30,189.7700042724609,190.9600067138672,188.27999877929688,188.3699951171875,2287900
2015-02-27,201.0,201.94000244140625,200.0,200.0500030517578,1311400
2015-03-31,203.4600067138672,205.1699981689453,202.9600067138672,202.9600067138672,1261500
2015-04-30,190.97000122070312,191.4600067138672,185.6499938964844,186.6000061035156,2257200
2015-05-29,189.92999267578125,190.1000061035156,187.6199951171875,188.1999969482422,1517400
2015-06-30,187.1699981689453,187.7899932861328,185.3300018310547,185.8999938964844,1275200
2015-07-31,207.6100006103516,208.50999450683597,206.52999877929688,207.1000061035156,1116800
2015-08-31,203.2100067138672,203.2400054931641,201.0800018310547,201.17999267578125,1086800
2015-09-30,204.33999633789065,207.7100067138672,204.22999572753903,207.30999755859372,1721800
2015-10-30,219.0,220.69000244140625,218.3300018310547,219.8300018310547,1774000
2015-11-30,223.6000061035156,223.67999267578125,218.52999877929688,219.16000366210935,3000800
2015-12-31,219.5800018310547,219.9499969482422,215.77999877929688,217.1499938964844,1157800
2016-01-29,207.8300018310547,211.0500030517578,206.1199951171875,211.0,2595900
2016-02-29,216.6699981689453,218.1000061035156,215.72999572753903,215.7899932861328,1248600
2016-03-31,222.6499938964844,223.3300018310547,221.08999633789065,221.5,1105200
2016-04-29,232.1000061035156,232.97000122070312,230.82000732421875,232.3800048828125,952200
2016-05-31,239.7400054931641,240.6100006103516,236.1499938964844,236.22999572753903,2546000
2016-06-30,244.77999877929688,248.72000122070312,244.6699981689453,248.1699981689453,2045600
2016-07-29,254.5,254.80999755859372,252.6999969482422,252.72999572753903,2178300
2016-08-31,239.0,243.6199951171875,238.6000061035156,242.97000122070312,2890200
2016-09-30,243.05999755859372,243.47000122070312,237.3300018310547,239.72000122070312,2167000
2016-10-31,248.2400054931641,248.80999755859372,245.67999267578125,246.3800048828125,1320900
2016-11-30,267.54998779296875,267.95001220703125,265.25,265.25,1468000
2016-12-30,250.52999877929688,251.32000732421875,248.77999877929688,249.94000244140625,1058100
2017-01-31,252.32000732421875,252.5,249.9600067138672,251.3300018310547,1276300
2017-02-28,269.6400146484375,269.7200012207031,266.45001220703125,266.5799865722656,2049400
2017-03-31,270.4700012207031,270.4700012207031,267.6000061035156,267.6000061035156,1214400
2017-04-28,271.07000732421875,271.5400085449219,268.6199951171875,269.45001220703125,1004200
2017-05-31,279.4700012207031,281.2799987792969,279.2699890136719,281.1300048828125,1506600
2017-06-30,277.6199951171875,278.9200134277344,276.32000732421875,277.6099853515625,1085900
2017-07-31,291.4200134277344,293.8399963378906,291.0299987792969,292.1300048828125,1139200
2017-08-31,306.8599853515625,306.8599853515625,304.9700012207031,305.3900146484375,982400
2017-09-29,308.95001220703125,310.3599853515625,308.69000244140625,310.2900085449219,911500
2017-10-31,309.1600036621094,309.8299865722656,308.1400146484375,308.1600036621094,693900
2017-11-30,319.6199951171875,320.94000244140625,318.4800109863281,319.1199951171875,2626200
2017-12-29,322.2200012207031,323.1499938964844,321.0199890136719,321.04998779296875,731200
2018-01-31,353.2799987792969,358.5199890136719,352.45001220703125,354.8500061035156,1887200
2018-02-28,357.3599853515625,359.20001220703125,352.4200134277344,352.44000244140625,988400
2018-03-30,336.0400085449219,341.0,335.3900146484375,337.92999267578125,1039300
2018-04-30,322.3500061035156,325.4599914550781,320.20001220703125,320.8399963378906,1451100
2018-05-31,319.239990234375,320.2799987792969,314.4700012207031,314.5400085449219,1452700
2018-06-29,297.4800109863281,299.9800109863281,295.260009765625,295.42999267578125,1267800
2018-07-31,321.3800048828125,326.42999267578125,321.3800048828125,326.1000061035156,986300
2018-08-31,318.5599975585937,320.8900146484375,317.010009765625,320.4100036621094,1055500
2018-09-28,345.7200012207031,348.0,344.7099914550781,345.9599914550781,1827500
2018-10-31,294.3599853515625,299.1000061035156,293.5299987792969,293.8500061035156,1980100
2018-11-30,300.75,303.5299987792969,297.8800048828125,300.42999267578125,3666200
2018-12-31,262.1499938964844,265.1099853515625,259.8500061035156,261.8399963378906,1184900
2019-01-31,290.1700134277344,292.8299865722656,287.7900085449219,289.69000244140625,1311100
2019-02-28,307.44000244140625,311.75,306.1199951171875,309.4100036621094,1839100
2019-03-29,297.5,300.5899963378906,296.739990234375,300.1600036621094,1212000
2019-04-30,329.5199890136719,333.8599853515625,328.4599914550781,333.3299865722656,990000
2019-05-31,337.5899963378906,341.1400146484375,337.489990234375,338.5400085449219,1024000
2019-06-28,359.4800109863281,363.75,357.6700134277344,363.5400085449219,1369600
2019-07-31,365.9100036621094,368.7099914550781,359.2900085449219,362.1700134277344,1037100
2019-08-30,383.25,384.739990234375,381.510009765625,384.1099853515625,760700
2019-09-30,388.55999755859375,393.8200073242188,388.4200134277344,390.05999755859375,1293200
2019-10-31,377.9200134277344,380.1799926757813,375.260009765625,376.6799926757813,911800
2019-11-29,392.0,392.2000122070313,390.0400085449219,391.0299987792969,401500
2019-12-31,391.75,391.9800109863281,387.0700073242188,389.3800048828125,775400
2020-01-31,434.9299926757813,435.5700073242188,426.1000061035156,428.1199951171875,1650100
2020-02-28,369.8599853515625,373.8200073242188,360.3399963378906,369.8699951171875,3363800
2020-03-31,344.8099975585937,346.9200134277344,336.239990234375,338.95001220703125,2169300
2020-04-30,383.1000061035156,391.4400024414063,380.4400024414063,389.05999755859375,1343300
2020-05-29,396.0400085449219,396.239990234375,384.7699890136719,388.4400024414063,1733800
2020-06-30,365.3500061035156,367.25,362.4100036621094,364.9200134277344,1482100
2020-07-31,380.5499877929688,381.3699951171875,373.6799926757813,378.9700012207031,1101800
2020-08-31,392.1700134277344,395.0,388.4700012207031,390.260009765625,1030400
2020-09-30,389.4700012207031,389.760009765625,380.510009765625,383.2799987792969,1410300
2020-10-30,350.6400146484375,353.7300109863281,345.6499938964844,350.1300048828125,1309800
2020-11-30,370.7900085449219,372.4400024414063,363.3900146484375,365.0,1608400
2020-12-31,353.82000732421875,356.0299987792969,352.2300109863281,354.9800109863281,1318500
2021-01-29,327.1000061035156,328.9800109863281,321.7200012207031,321.82000732421875,2101100
2021-02-26,338.0,338.760009765625,330.0,330.25,2024000
2021-03-31,370.75,372.6099853515625,367.3800048828125,369.5,1375500
2021-04-30,378.8599853515625,382.0,377.6000061035156,380.55999755859375,1103700
2021-05-31,384.7000122070313,386.0,381.5199890136719,382.2000122070313,935500
2021-06-30,374.5,379.4400024414063,373.6199951171875,378.3500061035156,1077600
2021-07-30,372.0700073242188,373.6400146484375,370.1099853515625,371.6700134277344,798600
2021-08-31,359.3999938964844,360.8500061035156,358.1000061035156,359.79998779296875,1083900
2021-09-30,351.5299987792969,352.29998779296875,344.8999938964844,345.1000061035156,1054300
2021-10-29,330.0,334.3599853515625,328.8399963378906,332.32000732421875,1818900
2021-11-30,337.20001220703125,338.3599853515625,333.0299987792969,333.32000732421875,2763200
2021-12-31,331.3500061035156,334.37750244140625,330.3442077636719,333.8099975585937,1603414
