Date,SP500
2013-01-31,126.79222106933594
2013-02-28,128.40997314453125
2013-03-31,133.2858123779297
2013-04-30,135.84658813476562
2013-05-31,139.05386352539062
2013-06-30,137.19827270507812
2013-07-31,144.2882843017578
2013-08-31,139.96075439453125
2013-09-30,144.38998413085938
2013-10-31,151.0762176513672
2013-11-30,155.55377197265625
2013-12-31,159.58673095703125
2014-01-31,153.9615936279297
2014-02-28,160.9692840576172
2014-03-31,162.30455017089844
2014-04-30,163.4328155517578
2014-05-31,167.2255096435547
2014-06-30,170.6778564453125
2014-07-31,168.38436889648438
2014-08-31,175.0294189453125
2014-09-30,172.61463928222656
2014-10-31,176.67984008789062
2014-11-30,181.53363037109372
2014-12-31,181.07318115234372
2015-01-31,175.7080841064453
2015-02-28,185.58367919921875
2015-03-31,182.66897583007807
2015-04-30,184.4653167724609
2015-05-31,186.8367919921875
2015-06-30,183.04180908203125
2015-07-31,187.17660522460935
2015-08-31,175.7681427001953
2015-09-30,171.283203125
2015-10-31,185.85250854492188
2015-11-30,186.5318298339844
2015-12-31,183.30810546875
2016-01-31,174.1818084716797
2016-02-29,174.0379180908203
2016-03-31,185.74485778808597
2016-04-30,186.47686767578125
2016-05-31,189.64913940429688
2016-06-30,190.30833435058597
2016-07-31,197.2490997314453
2016-08-31,197.4853057861328
2016-09-30,197.4967803955078
2016-10-31,194.07275390625
2016-11-30,201.2220764160156
2016-12-31,205.30123901367188
2017-01-31,208.97503662109372
2017-02-28,217.1859588623047
2017-03-31,217.4574279785156
2017-04-30,219.6160125732422
2017-05-31,222.7154083251953
2017-06-30,224.1352081298828
2017-07-31,228.74208068847656
2017-08-31,229.40951538085935
2017-09-30,234.03195190429688
2017-10-31,239.5467529296875
2017-11-30,246.86871337890625
2017-12-31,249.8626708984375
2018-01-31,263.9447937011719
2018-02-28,254.3475646972656
2018-03-31,247.3758087158203
2018-04-30,248.65426635742188
2018-05-31,254.6988220214844
2018-06-30,256.1635437011719
2018-07-31,265.653564453125
2018-08-31,274.1332092285156
2018-09-30,275.7630920410156
2018-10-31,256.7066345214844
2018-11-30,261.4683532714844
2018-12-31,238.4464874267578
2019-01-31,257.5378112792969
2019-02-28,265.8861389160156
2019-03-31,270.6988220214844
2019-04-30,281.75750732421875
2019-05-31,263.7894592285156
2019-06-30,282.1456604003906
2019-07-31,286.4115600585937
2019-08-31,281.6160583496094
2019-09-30,287.095703125
2019-10-31,293.4418640136719
2019-11-30,304.06396484375
2019-12-31,312.898681640625
2020-01-31,312.7723083496094
2020-02-29,288.011474609375
2020-03-31,252.047119140625
2020-04-30,284.0529479980469
2020-05-31,297.586669921875
2020-06-30,302.8642272949219
2020-07-31,320.7005920410156
2020-08-31,343.0843811035156
2020-09-30,330.2381286621094
2020-10-31,322.00408935546875
2020-11-30,357.0306701660156
2020-12-31,370.258056640625
2021-01-31,366.4849853515625
2021-02-28,376.6752624511719
2021-03-31,393.7760620117188
2021-04-30,414.6109313964844
2021-05-31,417.3332824707031
2021-06-30,426.6930236816406
2021-07-31,437.1096496582031
2021-08-31,450.1179809570313
2021-09-30,429.1400146484375
2021-10-31,459.25
2021-11-30,455.55999755859375
2021-12-31,453.4200134277344
